,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,0.42,"UNITED RENTALS (NORTH AMERICA), INC.",USS STEEL RESEARCH,MUNHALL,PA,15120-5044,7000,,SWEEPER ADVANCE WALKBEHIND,1,7000,,,,10,7000,,
6,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,,,,,000 000,,,"$15,784.70 ",,
7,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,BOOM 60-64' TELESCOPIC ELECT/MULTI PWR,1,,"1,211.00","3,085.00",,,"1,211.00",,
8,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,,1,,,,,,277.5,,
9,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,,1,,,,,,,,
10,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,BOOM 60-64' TELESCOPIC ELECT/MULTI PWR,1,501,"1,211.00","3,085.00",1101.7,1090,"3,085.00",,
11,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,BOOM 60-64' TELESCOPIC ELECT/MULTI PWR,1,501,"1,211.00","3,085.00",. 00,1090,"3,085.00",,
12,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,,1,,,,,,,,
13,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,,1,,,,,,,,
14,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,"SCRUBBER RIDE ON ELECTRIC UPTO 40"" PATH",1,471,"1,485.00","2,921.00",. 00,. 02,"2,921.00",,
15,0.987,UNITED RENTALS (NORTH AMERICA).INC.,USS STEEL RESEARCH,MUNHALL,PA,15120-5044,"1,485.00",217853598-001,SWEEPER ADVANCE WALKBEHIND,1,200.00 200.00,550,"1,200.00",. 00,1,"1,200.00",,
