,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Unit,Rate,Amount
0,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,775.45",272339,15 Ton CD Daily,9.00,Hour(s),$50.00,$450.00
1,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,775.45",272339,Operator Labor - ST,8.00,Hour(s),$125.63,"$1,005.04"
2,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,775.45",272339,Operator Labor - OT,1.50,Hour(s),$154.94,$232.41
3,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,775.45",272339,Fuel,8.00,Gallon(s),$11.00,$88.00
4,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,082.51",278819,USS 2.2MP Labor ST,8.00,Hour(s),$125.63,"$1,005.04"
5,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,082.51",278819,USS 2.2MP Labor OT,0.50,Hour(s),$154.94,$77.47
6,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,800.00",262709,"11,000 lbs Forktruck 4x4",1.00,Month(s),"$2,800.00","$2,800.00"
7,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,800.00",262709,Environmental Impact,1.00,Each,$0.00,$0.00
8,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$2,279.98",278373,Delivery - Carrydeck,1.00,Each,$500.00,$500.00
9,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$2,279.98",278373,30 Ton RT (d),8.50,Hour(s),$60.00,$510.00
10,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$2,279.98",278373,USS 30/35T-RT Labor ST,8.00,Hour(s),$125.63,"$1,005.04"
11,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$2,279.98",278373,USS 30/35T-RT Labor,1.00,Hour(s),$154.94,$154.94
12,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$2,279.98",278373,Fuel,10.00,Gallon(s),$11.00,$110.00
13,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$3,000.00",277283,Misc. Equipment - Bare,1.00,Month(s),$950.00,$950.00
14,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$3,000.00",277283,Misc. Equipment - Bare,1.00,Month(s),"$1,200.00","$1,200.00"
15,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$3,000.00",277283,Shuttle Van,1.00,Month(s),$850.00,$850.00
16,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$3,018.00",291765,20 Ton CD (d),1.00,Day(s),"$1,430.00","$1,430.00"
17,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$3,018.00",291765,Operator Labor - ST,8.00,Hour(s),$155.00,"$1,240.00"
18,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$3,018.00",291765,Operator Labor - OT,1.00,Hour(s),$205.00,$205.00
19,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$3,018.00",291765,Fue,13.00,Gallon(s),$11.00,$143.00
20,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,392.00",258737,"1,050lb Track Loader",1.00,Month(s),"$2,300.00","$2,300.00"
21,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,392.00",258737,Operator Labor - ST,32.00,Hour(s),$120.00,"$3,840.00"
22,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,392.00",258737,Operator Labor - OT,4.50,Hour(s),$200.00,$900.00
23,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,392.00",258737,Fuel,32.00,Gallon(s),$11.00,$352.00
24,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$9,531.00",262689,"1,050lb Track Loader",1.00,Month(s),"$2,300.00","$2,300.00"
25,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$9,531.00",262689,Operator Labor - ST,24.00,Hour(s),$120.00,"$2,880.00"
26,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$9,531.00",262689,Operator Labor - OT,19.50,Hour(s),$200.00,"$3,900.00"
27,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$9,531.00",262689,Fuel,41.00,Gallon(s),$11.00,$451.00
28,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",280835,80' Articulating Boom,1.00,Day(s),$975.00,$975.00
29,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",280835,Environmental Impact,1.00,Each,$0.00,$0.00
30,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",280835,Delivery - Boom Lift,1.00,Each,$0.00,$0.00
31,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",280835,Return - Boom Lift,1.00,Each,$0.00,$0.00
32,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",280835,Fuel,5.00,Gallon(s),$11.00,$55.00
33,0.987,"Stevenson Crane Service, Inc.",US Steel - Environmental,"Gary,",IN,,"$7,487.50",278475,120 Ton TeleCC (d),1.00,Day(s),"$2,900.00","$2,900.00"
34,0.987,"Stevenson Crane Service, Inc.",US Steel - Environmental,"Gary,",IN,,"$7,487.50",278475,Attachment -,1.00,Day(s),"$1,750.00","$1,750.00"
35,0.987,"Stevenson Crane Service, Inc.",US Steel - Environmental,"Gary,",IN,,"$7,487.50",278475,Crew Labor - ST,8.00,Hour(s),$310.00,"$2,480.00"
36,0.987,"Stevenson Crane Service, Inc.",US Steel - Environmental,"Gary,",IN,,"$7,487.50",278475,Fuel,32.50,Gallon(s),$11.00,$357.50
37,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$1,783.11",268999,65 Ton RT Daily,8.50,Hour(s),$70.00,$595.00
38,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$1,783.11",268999,Operator Labor - ST,8.00,Hour(s),$127.02,"$1,016.16"
39,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$1,783.11",268999,Operator Labor - OT,0.50,Hour(s),$156.89,$78.45
40,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$1,783.11",268999,Fuel,8.50,Gallon(s),$11.00,$93.50
41,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$2,800.00",284962,"11,000 lbs Forktruck 4x4",1.00,Month(s),"$2,800.00","$2,800.00"
42,0.987,"Stevenson Crane Service, Inc.","84"" Hot Strip - Weekly Outage","Gary,",IN,,"$2,800.00",284962,Environmental Impact,1.00,Each,$0.00,$0.00
43,0.987,"Stevenson Crane Service, Inc.",8 Blast Furnace,"Gary,",IN,,"$1,742.61",290527,65 Ton RT (d),8.00,Hour(s),$70.00,$560.00
44,0.987,"Stevenson Crane Service, Inc.",8 Blast Furnace,"Gary,",IN,,"$1,742.61",290527,USS 65/70T-RT Labor ST,8.00,Hour(s),$127.02,"$1,016.16"
45,0.987,"Stevenson Crane Service, Inc.",8 Blast Furnace,"Gary,",IN,,"$1,742.61",290527,USS 65/70T-RT Labor,0.50,Hour(s),$156.89,$78.45
46,0.987,"Stevenson Crane Service, Inc.",8 Blast Furnace,"Gary,",IN,,"$1,742.61",290527,Fuel,8.00,Gallon(s),$11.00,$88.00
47,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,110 Ton RT,8.50,Hour(s),$160.00,"$1,360.00"
48,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,Crew Labor - ST,8.00,Hour(s),$240.00,"$1,920.00"
49,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,Crew Labor - OT,0.50,Hour(s),$400.00,$200.00
50,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,20K 22' Telehandler,1.00,Day(s),"$2,050.00","$2,050.00"
51,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,Craft Foreman - ST,8.00,Hour(s),$145.00,"$1,160.00"
52,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,Craft Foreman - OT,0.50,Hour(s),$185.00,$92.50
53,0.964,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,123.50",259362,Fuel,31.00,Gallon(s),$11.00,$341.00
54,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,060.00",261775,Operator Labor - ST,8.00,Hour(s),$120.00,$960.00
55,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,060.00",261775,Operator Labor - OT,0.50,Hour(s),$200.00,$100.00
56,0.987,"Stevenson Crane Service, Inc.",US Steel,"Gary,",IN,,"$2,950.00",274251,5.5K 19' Telehandler Monthly Bare,1.00,Month(s),"$2,950.00","$2,950.00"
57,0.987,"Stevenson Crane Service, Inc.",US Steel,"Gary,",IN,,"$2,950.00",274251,Environmental Impact Fee WAIVED,1.00,Each,$0.00,$0.00
58,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip",Gary,IN,,"$1,697.00",267068,65 Ton RT,8.00,Hour(s),$70.00,$560.00
59,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip",Gary,IN,,"$1,697.00",267068,Operator Labor - ST,8.00,Hour(s),$120.00,$960.00
60,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip",Gary,IN,,"$1,697.00",267068,Operator Labor - OT,0.50,Hour(s),$200.00,$100.00
61,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip",Gary,IN,,"$1,697.00",267068,Fuel,7.00,Gallon(s),$11.00,$77.00
62,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,$960.00,263917,Operator Labor - ST,8.00,Hour(s),$120.00,$960.00
63,0.997,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$6,106.00",258944,160 Ton RT,8.50,Hour(s),$280.00,"$2,380.00"
64,0.997,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$6,106.00",258944,Crew Labor - PT,8.00,Hour(s),$430.00,"$3,440.00"
65,0.997,"Stevenson Crane Service, Inc.","US Steel 84"" Hot Strip Weekly Outage","Gary,",IN,,"$6,106.00",258944,Fuel,26.00,Gallon(s),$11.00,$286.00
66,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,060.00",262827,Operator Labor - ST,8.00,Hour(s),$120.00,$960.00
67,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,060.00",262827,Operator Labor - OT,0.50,Hour(s),$200.00,$100.00
68,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,800.00",264447,"11,000 lbs Forktruck 4x4",1.00,Month(s),"$2,800.00","$2,800.00"
69,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,800.00",264447,Environmental Impact,1.00,Each,$0.00,$0.00
70,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary, IN",IN,,"$3,095.63",277237,65 Ton RT (d),11.50,Hour(s),$70.00,$805.00
71,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary, IN",IN,,"$3,095.63",277237,USS 65/70T-RT Labor PT,11.50,Hour(s),$186.75,"$2,147.63"
72,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary, IN",IN,,"$3,095.63",277237,Fuel,13.00,Gallon(s),$11.00,$143.00
73,0.987,"Stevenson Crane Service, Inc.","84"" North Slab Yard","Gary,",IN,,"$2,950.00",284964,5.5K 19' Telehandler,1.00,Month(s),"$2,950.00","$2,950.00"
74,0.987,"Stevenson Crane Service, Inc.","84"" North Slab Yard","Gary,",IN,,"$2,950.00",284964,Attachment - Monthly,1.00,Month(s),$0.00,$0.00
75,0.987,"Stevenson Crane Service, Inc.","84"" North Slab Yard","Gary,",IN,,"$2,950.00",284964,Environmental Impact,1.00,Each,$0.00,$0.00
76,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$1,669.51",271217,30 Ton RT Daily,8.50,Hour(s),$60.00,$510.00
77,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$1,669.51",271217,USS 30/35T-RT Operator,8.00,Hour(s),$125.63,"$1,005.04"
78,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$1,669.51",271217,USS 30/35T-RT Operator,0.50,Hour(s),$154.94,$77.47
79,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$1,669.51",271217,OT Fuel,7.00,Gallon(s),$11.00,$77.00
80,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$3,402.50",267029,Operator Labor - ST,16.00,Hour(s),$155.00,"$2,480.00"
81,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$3,402.50",267029,Operator Labor - OT,4.50,Hour(s),$205.00,$922.50
82,0.997,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,410.00",269643,"1,050lb Track Loader",1.00,Month(s),"$2,300.00","$2,300.00"
83,0.997,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,410.00",269643,Operator Labor - ST,1.00,Hour(s),$0.00,$0.00
84,0.997,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$2,410.00",269643,Fuel,10.00,Gallon(s),$11.00,$110.00
85,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",268149,80' Articulating Boom,1.00,Day(s),$975.00,$975.00
86,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",268149,Environmental Impact,1.00,Each,$0.00,$0.00
87,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",268149,Delivery - Boom Lift,1.00,Each,$0.00,$0.00
88,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",268149,Return - Boom Lift,1.00,Each,$0.00,$0.00
89,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN 46402,,"$1,030.00",268149,Fuel,5.00,Gallon(s),$11.00,$55.00
90,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$15,305.00",263538,160 Ton RT,26.00,Hour(s),$280.00,"$7,280.00"
91,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$15,305.00",263538,Crew Labor - ST,24.00,Hour(s),$240.00,"$5,760.00"
92,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$15,305.00",263538,Crew Labor - OT,2.00,Hour(s),$400.00,$800.00
93,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$15,305.00",263538,Man Basket,3.00,Day(s),$250.00,$750.00
94,0.987,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$15,305.00",263538,Fuel,65.00,Gallon(s),$11.00,$715.00
95,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,330 Ton All Terrain - ST,24.00,Hour(s),$945.00,"$22,680.00"
96,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,330 Ton All Terrain,25.00,Hour(s),"$1,145.00","$28,625.00"
97,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Crew Labor - OT/T1,7.50,Hour(s),$400.00,"$3,000.00"
98,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Freight - Counterweight,4.00,Load(s),"$1,500.00","$6,000.00"
99,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Permits (Round Trip),1.00,Set(s),"$1,000.00","$1,000.00"
100,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Truck Driver - OT,2.00,Hour(s),$250.00,$500.00
101,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,160 Ton RT,2.00,Week(s),"$10,000.00","$20,000.00"
102,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,160 Ton RT,2.00,Day(s),"$3,500.00","$7,000.00"
103,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Crew Labor - ST/T1,80.00,Hour(s),$240.00,"$19,200.00"
104,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Crew Labor - OT/T1,48.50,Hour(s),$400.00,"$19,400.00"
105,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Craft Foreman - ST,12.00,Hour(s),$145.00,"$1,740.00"
106,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Craft Foreman - OT,2.50,Hour(s),$185.00,$462.50
107,0.964,"Stevenson Crane Service, Inc.",US Steel - #14 Blast Furnace,"Gary,",IN,,"$134,695.80",258646,Fuel Surcharge,,,6.00%,"$5,088.30"
108,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary, IN 46402",,,"$2,525.74",280237,15 Ton CD (d),12.50,Hour(s),$50.00,$625.00
109,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary, IN 46402",,,"$2,525.74",280237,USS 15T-CD Labor ST,8.00,Hour(s),$125.63,"$1,005.04"
110,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary, IN 46402",,,"$2,525.74",280237,USS 15T-CD Labor OT,5.00,Hour(s),$154.94,$774.70
111,0.987,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary, IN 46402",,,"$2,525.74",280237,Fuel,11.00,Gallon(s),$11.00,$121.00
112,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,723.00",260193,110 Ton RT,9.00,Hour(s),$160.00,"$1,440.00"
113,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,723.00",260193,Crew Labor - PT,9.00,Hour(s),$430.00,"$3,870.00"
114,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,723.00",260193,20K 22' Telehandler -,1.00,Day(s),"$2,050.00","$2,050.00"
115,0.992,"Stevenson Crane Service, Inc.","US Steel - 84"" Hot Strip Weekly Outage","Gary,",IN,,"$7,723.00",260193,Daily/Operated Fuel,33.00,Gallon(s),$11.00,$363.00
