,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
0,0.987,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,215.25,142304255-0006,80' STR MANLIFT,1,817,1895,3535,2598.5,2578.6,N/C,,
1,0.997,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"3,603.93",133507214-0015,80' ART MANLIFT W/JIB,1,817,1895,3535,,115.2,3535,,
2,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR,"MOUNTAIN IRON,",MN,55768 3013,"2,138.89",98894889-0042,"11,000LB MINI EXCAVATOR CAB",1,353,879,2097,,1185.3,2097,,
3,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,292.70",86757324-0055,"3,500LB MINI EXCAVATOR",1,237,463,1267,,512.7,1267,,
4,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,534.9,106156890-0050,4 WHEEL IND ELECTRIC CART 4 SEAT,1,87,213,527,,29.1,527,,
5,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,554.73",145738302-0004,500LB DSL TRACK MINI SKIDSTEER,1,255,725,1525,286.914,275.432,1525,,
6,0.987,"SUNBELT RENTALS, INC.",USS MINNTAC MT IRON,"MT IRON,",MN,55768 3013,"1,230.53",73365622-0091,500LB DSL TRACK MINI SKIDSTEER,1,207,497,1207,601.004,464.206,1207,,
7,0.997,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,658.72",123617017-0020,5.5K 19' CAB TELEHANDLER FORKLIFT,1,327,837,1627,2098.45,1920.2,1627,,
8,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0011,4 TON CARRY DECK CRANE,1,335,835,2079,932.056,790.3,2079,,
9,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"2,158.01",127533793-0011,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
10,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"6,060.40",145283603-0001,35-39K HYDRAULIC EXCAVATOR,1,597,2100,4295,298.6,296.82,4200,,
11,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"6,060.40",145283603-0001,,1,,,,,,,,
12,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,440.28",128143317-0018,6K 14-17' DF W/HYD FP IND FORKLIFT,1,215,540,1375,1858.839,1293,1375,,
13,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"1,440.28",128143317-0018,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
14,0.997,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,526.19",108035333-0041,45' ART MANLIFT W/JIB,1,247,499,1497,,999.6,1497,,
15,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,115.57",135976387-0008,"18,500LB MINI EXCAVATOR CAB",1,497,1327,3055,1346.8,1325.1,3055,,
16,0.987,"SUNBELT RENTALS, INC.",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,"1,259.08",88107248-0069,0-1000LB SKIDSTEER,1,195,487,1235,,58,1235,,
17,0.987,"SUNBELT RENTALS, INC",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,1414.04,134986756-0018,500LB DSL TRACK MINI SKIDSTEER,1,235,667,1387,266.851,238.381,1387,,
18,0.987,"SUNBELT RENTALS, INC",COURSE CRUSHER,"MOUNTAIN IRON,",MN,55768 3013,1414.04,134986756-0018,SKIDSTEER LOADER BUCKET,,,,,,,,,
19,0.987,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,115.57",135976387-0007,"18,500LB MINI EXCAVATOR CAB",1,497,1327,3055,1342.7,1325.1,3055,,
20,0.915,"SUNBELT RENTALS, INC",MINTAC,"MT IRON,",MN,55768 3013,503.59-,135976387-0003,,1,,,,,,89.11-,,
21,0.915,"SUNBELT RENTALS, INC",MINTAC,"MT IRON,",MN,55768 3013,503.59-,135976387-0003,DELIVERY CHARGE,,,,,,,207.24-,,
22,0.915,"SUNBELT RENTALS, INC",MINTAC,"MT IRON,",MN,55768 3013,503.59-,135976387-0003,PICKUP CHARGE,,,,,,,207.24-,,
23,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR STEP 2,"MOUNTAIN IRON,",MN,55768 2075,"3,867.98",135164402-0007,10 YARD DUMP TRUCK,1,579,1897,4937,50523.7,47981,3794,,
24,0.997,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,779.02",129425524-0025,5.5K 19' CAB TELEHANDLER FORKLIFT,1,382,882,1745,,2023,1745,,
25,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,216.25",119930039-0017,15K DF W/HYD FP IND FORKLIFT,1,513,1327,3117,,306.4,3117,,
26,0.992,"SUNBELT RENTALS, INC.",MINTAC,"MT IRON,",MN,55768 3013,"3,216.25",119930039-0017,33LB PROPANE CYLINDER,1,7,13,38,,,38,,
27,0.987,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,118.52",108880375-0036,30' SINGLE MANLIFT PUSH-TYPE,1,163,357,775,,31.2,775,,
28,0.987,"SUNBELT RENTALS, INC.",KEETAC,"HIBBING,",MN,55746 9321,"1,118.52",108880375-0036,19' ELECT SCISSORLIFT,1,115,173,327,,105.4,327,,
29,0.987,"SUNBELT RENTALS, INC.",AGGLOMERATOR,"MOUNTAIN IRON,",MN,55768 3013,"3,152.25",119401143-0034,3200-3700LB TRACK SKIDSTEER CAB,1,327,1223,2797,504.7,323.2,2797,,
