,confidence,Incumbent Supplier,Receiving Plant,Receiving Plant City,Receiving Plant State,Receiving Plant Zip Code,Total Amount,Invoice,Equipment Type,Qty,Daily,Weekly,Monthly,Hours In,Hours Out,Amount,Usage in Hours,Hourly
0,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,545,215239896-006,INDUSTRIAL ELECTRIC CART 4 WHEELED,1,426,248,545,. 00,2,545,,
1,0.997,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,447,202234796-013,INDUSTRIAL ELECTRIC CART 3 WHEELED,1,67,166,447,. 00,1,447,,
2,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",PLANT BULL GANG,MOUNTAIN IRON,MN,55768-3013,"1,808.00",217063971-006,BOOM 30-33' ARTICULATING DC,1,594,"1,214.00","2,133.00",458,445,"1,808.00",,
3,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL-FAIRFIELD WORKS,FAIRFIELD,AL,35064-1218,"1,020.27",190103876-029,BOX 25 YD VACUUM ROLL OFF,1,241.34 34.47,241.34,965.41,,,965.41,,
4,0.987,"UNITED RENTALS (NORTH AMERICA), INC.","1 BROADWAY, GARY",GARY,IN,46402,520,790007275-032,"GLO/OFFICE CONTAINER 8X20X8'6""",1,,,395,,,395,,
5,0.987,"UNITED RENTALS (NORTH AMERICA), INC.","1 BROADWAY, GARY",GARY,IN,46402,520,790007275-032,"CONTAINER 8X20X8'6""",1,,,125,,,125,,
6,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",US STEEL-FAIRFIELD WORKS,FAIRFIELD,AL,35064-1368,"1,005.57",190103876-037,BOX 25 YD VACUUM ROLL OFF,1,241.34 34.47,241.34,965.41,,,965.41,,
7,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",JOB GARAGE,CLAIRTON,PA,15025,"5,950.00",222649676-002,COMPRESSOR 1600-1800 CFM TIER 4,1,500,"1,700.00","5,400.00",. 00,1723,"5,400.00",,
8,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,"2,133.00",225314871-004,BOOM 30-33' ARTICULATING DC,1,594,"1,214.00","2,133.00",. 00,633,"2,133.00",,
9,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",AGGLOMERATOR STEP III,MOUNTAIN IRON,MN,55768-3013,"1,689.00",214370586-010,FORKLIFT VARIABLE REACH 5000# 16-20',1,356,802,"1,689.00",. 00,1057,"1,689.00",,
10,0.987,"UNITED RENTALS (NORTH AMERICA), INC.",FINES CRUSHER,MOUNTAIN IRON,MN,55768-3013,578,228588022-004,INDUSTRIAL ELECTRIC CART 4 WHEELED,1,87,205,578,. 00,416.2,578,,
11,0.964,"UNITED RENTALS (NORTH AMERICA), INC.",HOT STRIP,GARY,IN,46402,"9,974.42",225601380-002,"4"" HYDRAULIC PUMP HEAD CAST IRON",1,300.54 300.54,601.12,"1,800.50",,,"1,202.24",,
